Name,Type,Ratings,Total Reviews,Address,Phone,Latitude,Longitude
Banepa Futsal,· Futsal court,4,73,Ugratara Janagal,984-1599881,27.6317393,85.5125116
Kaasthamandap Futsal Academy,No reviews · Futsal court,,,Kathmandu,,27.736176,85.348763
Binayak Futsal,· Sports complex,5,1,,981-0014215,27.6569207,85.3575479
Healthy Futsal Pvt.ltd.,· Sports complex,3.9,11,Bhaktapur,986-1613399,27.6637067,85.4297173
RL FUTSAL,· Futsal court,3.5,20,Chapagaun,985-1136913,27.5995575,85.3206863
Raftaar Futsal,· Futsal court,3.5,15,Kathmandu,984-3151509,27.7245378,85.3501851
Yellow house Futsal,· Futsal court,5,1,,981-3133758,27.6103723,85.3091637
Dhuku Futsal Hub Pvt Ltd. (Futsal & Swimming Pool),· Sports complex,4.3,676,Kathmandu,01-4435832,27.7314798,85.3349102
Chaur Recreational Center,· Futsal court,3.9,258,Kathmandu,01-4377515,27.7494506,85.3441361
Okhat Sunakothi Futsal,No reviews · Futsal court,Open now,,Thecho,,27.6533699,85.3157999
narkate futsal arena,· Sports club,5,2,Mahalaxmi,984-1194711,42.7471172,-84.5521522
Nature Futsal,· Sports club,4.5,4,Kathmandu,984-3657361,27.7167701,85.3810958
"Chandragiri Futsal, aakashtol",· Futsal court,3.4,68,Chandragiri,984-1354837,27.6914867,85.2348119
X-cel Futsal,· Sports club,3.7,354,Kathmandu,01-4440857,27.7233797,85.3325496
Star Futsal,· Sports complex,3.5,110,Kathmandu,984-6438561,27.7300468,85.3136883
Visionova Futsal,· Sports complex,4.8,12,Kathmandu,,27.6879817,85.29385
Country Side Recreation Center,· Sports club,3.9,14,Anantalingeshwar,986-0976204,27.6547268,85.3764524
Nagarjun futsal,· Futsal court,4.4,9,,986-3523510,27.732289,85.284536
Premier Futsal,No reviews · Futsal court,,,Lalitpur,,27.6545695,85.3305433
जीवनसाथी फुटसल,· Sports club,3.8,91,Kathmandu,01-5237714,27.7036969,85.2909989
Taudaha Futsal,No reviews · Futsal court,,,Kirtipur,984-0222482,27.649293,85.283743
Matshya Recreational Centre,No reviews · Futsal court,,,Chandragiri,,27.6717475,85.2473871
A-One Futsal & Football Academy,· Futsal court,4.5,2,Tarakeshwar,980-8670663,27.7492,85.3149221
Sunrise S.A.S Futsal,· Sports complex,3.6,139,Lalitpur,986-0782591,27.6759962,85.3011185
Royal Futsal,· Futsal court,4,2,Dhulikhel,984-3184531,27.6217925,85.5399672
Nayapati Futsal Arena नयाँपाटी फुटसल अरेना,· Futsal court,3.7,46,Gokarneshwor,01-4800176,27.7458217,85.4091106
Busy Futsal,· Indoor playground,3.7,101,Kathmandu,985-1038695,27.6904698,85.2913124
Active Sports Complex,· Futsal court,4.6,17,Lalitpur,984-1444137,27.6396514,85.3201999
Mates futsal,· Futsal court,3.7,6,Kathmandu,,27.7036969,85.2909989
DIG Futsal,· Futsal court,4.6,16,Chandragiri,986-6038268,27.694498,85.2522474
Great Himalaya Cricket Academy and Futsal,· Sports complex,4.5,17,Lalitpur,984-7298886,27.6483776,85.3380223
DHAKSHI FUTSAL,No reviews · Futsal court,Open now,,Chandragiri,,27.6664894,85.2370811
DREAM FUTSAL,· Sports club,4.4,8,Kathmandu,01-5223179,27.7278379,85.3803153
narkte futsal arena,· Sports club,4.4,12,Mahalaxmi,980-1831336,42.7471172,-84.5521522
RUMBLE FUTSAL,· Sports complex,4,6,Gokarneshwor,980-3451468,27.7310161,85.3811935
SR Futsal,· Sports complex,4,159,Dhulikhel,985-1204310,27.6182928,85.5329829
X - Cel Recreation Center (Futsal),· Sports club,3.9,19,Kathmandu,984-1311864,27.7236296,85.3326777
Godawari Futsal,· Sports complex,5,6,Lalitpur,984-1746795,27.6090679,85.3561572
Chapagaun Futsal,· Sports complex,5,5,Chapagaun,984-3326033,27.5863366,85.322624
SUBASHREE FUTSAL AND DEPARTMENTAL STORE,No reviews · Football club,,,,,49.7099615,-112.8245177
Lakhur futsal,· Sports complex,4.1,86,Lalitpur,982-3374788,27.633975,85.350014
Kantipur futsal and training center,· Playground,4.2,31,,985-1313355,27.7372296,85.3520835
Le Himalayan Futsal,· Sports club,4,2,,984-9944121,27.7202664,85.3628873
(Brothers Group) BG Futsal,· Sports club,4.3,3,,984-9802277,27.690558,85.368672
Kick Futsal Ground,· Gym,4.2,9,Lalitpur,980-8121351,27.6784095,85.3291298
Bora Turf Artificial Grass Store,· Futsal court,5,16,Kathmandu,986-2262787,27.6817868,85.3285639
Brothers Footsal and Snooker House,· Sports complex,3.7,53,Gokarneshwor,,27.7201294,85.3796144
Thali Futsal,· Sports club,4.8,20,,985-1202815,27.7268328,85.4086694
Lalitpur 5A Side Indoor Football Ground,· Recreation center,3.7,289,Lalitpur,01-5535453,27.6898124,85.3038971
Healthy Futsal pvt.ltd.,· Corporate office,5,4,Suryabinayak,986-1613399,27.6637067,85.4297173
Jadibuti futsal,· Playground,3.8,28,Kathmandu,982-8722447,27.6733627,85.3529392
Le Himalaya Futsal Wellness Center-Nepal,· Sports club,4.2,5,Kathmandu,01-4813226,27.7312991,85.3711008
Le Himalaya Futsal Wellness Center,· Sports complex,5,3,Kathmandu · Near the Boudhanath,980-3423027,27.7202664,85.3628873
Chapagaun Futsal and Recreation Centre,· Sports complex,4,6,Chapagaun,,27.5865796,85.3225177
Binayak Futsal Centre,· Sports bar,4.5,10,Mahalaxmi,981-0014215,27.6589497,85.3633887
Nationa Sports Academy Futsal,· Gym,4,1,Lalitpur,,27.6767076,85.3335685
Futsal and swimming pool,No reviews · Entertainer,,,Kathmandu,,27.6899521,85.2955242
Vision Nova Futsal and Swimming,· Sports club,4,1,Kathmandu,,27.7080593,85.3079434
One Tree Hill Futsal,No reviews · Sports club,,,Karyabinayak,,27.6419473,85.3006062
Yala Futsal,· Indoor playground,3.8,9,Mahalaxmi,01-5200389,27.662959,85.3372364
Futsal Park,· Gym,4,63,Nagarjun,986-0700348,27.7225843,85.2793755
Futsal Grass Nepal,· Sports accessories wholesaler,5,1,Kathmandu,980-1205200,27.6812905,85.3283138
SV Futsal,· Entertainer,4.2,6,Kathmandu,984-2536020,27.6837729,85.3293845
Yala Futsal,· Gym,3,3,Mahalaxmi,01-5200389,27.662959,85.3372364
Dream Futsal (ड्रिम फुटसल),Open ⋅ Closes 8PM · 01-5223179,5,2,,,27.7278336,85.3803235
Grassroots Recreational Center,· Sports club,3.8,183,Kathmandu,01-4375276,27.7349559,85.346481
Green Fustal,· Sports school,3.9,28,Kathmandu,01-4910288,27.7249483,85.3700804
Sukedhara futsal house,· Gym,3.7,15,Budhanilkantha,985-1161993,27.7331225,85.3494285
Futung Futsal,· Sports club,5,1,,986-0114197,27.7415217,85.3129973
Gokarneshwor futsal tatha fitness club,· Club,4.3,24,Gokarneshwor,985-1009498,27.7276415,85.3802423
Balchhi Dhurbe Futsal,· Athletic field,4.1,101,Kathmandu,01-5139293,27.7336778,85.2899699
